keyword;correlation
liver disease;0.0856784932217053
diabetes;0.0923763839145892
renal failure;0.2424942247705095
hypertension;0.20470107352182576
disease;-0.054446953056618064
kidney;0.34984901295135823
cardiovascular disease;0.2764642063607733
cirrhosis;0.09016737364188031
nephritis;0.255883125049525
cardiomyopathy;-0.004526839249361858
emphysema;0.0882401008614777
cystic fibrosis;-0.027267373425468536
glaucoma;0.1674296296343951
sickle cell anemia;0.23150671972408918
diabetes mellitus;0.12124856726038036
coronary artery disease;0.28745449159949427
juvenile diabetes;0.0900970834861962
congestive heart failure;0.2385136144479109
genetic disorder;0.26459365029514476
anemia;0.22437070615471974
pancreatitis;0.18172146803723369
atherosclerosis;0.002965937586894551
hypothyroidism;0.05096703914531545
diabetic;0.3506258093706869
Kawasaki Disease;0.1212144521244113
rheumatic fever;0.11678525424207058
nephrotic syndrome;0.2368678778799339
valvular heart disease;0.014331798626864517
metabolic disorder;0.09182351740078605
liver;0.23181061261805547
arteriosclerosis;0.16325935716278098
gout;0.23460327332189687
autoimmune disease;0.18396831082843235
retinopathy;0.08053596410856469
osteoporosis;-0.00826354460647173
kidney failure;0.22436115372275622
heart disease;0.07547232050965237
chronic renal failure;0.11888284060121908
liver cancer;0.26256355944312465
polycystic kidney disease;0.40063339900514533
colon cancer;0.15174010178574812
cancer;0.14074691453872087
lupus;0.3283878431173971
dementia;0.03142352453243597
leukemia;0.023397456502264824
hemolytic anemia;0.15077269290234838
lung cancer;0.04965032605410405
iron overload;0.07492150534247537
pancreatic cancer;-0.04296839206605176
acute myeloid leukemia;0.23844635108817636
prostate cancer;0.16347778220679418
epilepsy;-0.15675795272091048
macular degeneration;0.07613964098517899
pneumonia;0.1628123347314375
scleroderma;-0.032181591549411935
lymphoblastic leukemia;-0.02576054170500819
lymphoma;-0.03901028094946836
hemochromatosis;-0.22502456725427677
histiocytosis;0.19686906689506625
multiple myeloma;-0.05094638020778056
nephrosis;0.07166707069823308
celiac disease;-0.19187085354177844
amyloidosis;-0.168525092891915
arthritis;0.06318954100673291
aplastic anemia;0.190633628315112
degenerative;0.23754392054660567
hypertrophic cardiomyopathy;0.11620631114765956
renal insufficiency;0.1358437341210871
aortic stenosis;0.1780215159907522
asthma;0.07504465746648213
multiple sclerosis;0.0656332285758942
preeclampsia;-0.04885778425576981
rheumatoid arthritis;0.19943207331261983
uremia;0.2560088976537707
prediabetes;0.05602479181598802
vasculitis;-0.03878928942791756
sleep apnea;0.16700660409321444
chronic lymphocytic leukemia;0.05497842876142281
lupus erythematosus;0.1443460653037235
systemic lupus erythematosus;0.17134316216024617
familial hypercholesterolemia;0.027450319805334494
ketoacidosis;0.008283397433702813
cataracts;0.07263212348621696
myotonic muscular dystrophy;0.09490491439114347
hyperparathyroidism;0.0464905771611888
dialysis;0.43778760847350323
sepsis;0.12941919351190553
ulcerative colitis;0.042630927705381315
pemphigus;0.12654027043121582
hyperkalemia;0.12993956184027525
inflammatory bowel disease;0.23859029216654679
neurological disorder;0.014331798626864517
lymphocytic leukemia;0.006193641353907198
hyponatremia;-0.0033099487595312145
illness;-0.09708555399307023
muscular dystrophy;-0.038923562359433936
lichen planus;0.14708704110965168
leukodystrophy;-0.009672306206855556
hydrocephalus;0.03240596026025806
breast cancer;0.13692188415128714
renal;0.22471772336717608
sugar diabetes;0.16918146312768248
mucoviscidosis;-0.035058556213019676
pyelitis;0.04362647775545917
necrobiosis lipoidica;0.1290102786010025
uropathy;0.16841757766251156
toxemia of pregnancy;0.20860337475255594
nephropathy;0.16406207156713762
diabetes insipidus;0.2208839602167404
Christmas Disease;0.0505849038187886
nephroptosis;0.20631677611620283
fatty liver;0.33291202185356356
anuresis;-0.1483251135888752
emia;0.06694550371314738
fibrosis;0.023410690293319266
conversion disorder;0.15803225820804592
keratomalacia;0.004248031234068292
rachischisis;0.09851239147863111
nephrolith;0.022769748169636336
renal corpuscle;0.2986462272736571
renal cortex;-0.008320025426013662
tetralogy of fallot;0.0443069233464942
chronic;-0.030208831781661574
coeliac disease;0.1832734822091324
pulmonary emphysema;0.019791595932680966
gas gangrene;0.04662993395589965
hyperthyroidism;0.06274244780640667
kalemia;-0.03226285130625484
cardiovascular;0.22112380114939392
cat scratch disease;0.06496951846955117
amyotrophic lateral sclerosis;0.20258555690093982
coronary thrombosis;0.1604003664916854
cor pulmonale;0.3460243158479545
high blood pressure;0.443604657580794
gulf war syndrome;0.2578450729339179
respiratory disease;0.21871528972270052
Williams Syndrome;-0.1470645370216694
Newcastle Disease;-0.1576497848955091
diagnose;0.03869107640707429
albuminuria;0.10834123253112432
nephrite;0.2041851922380481
Pkd;0.18046600998015994
oliguria;0.20961654174261493
gravel;-0.19668216719614864
nephrosclerosis;0.07417862718482233
polycystic;0.05696721461002599
chlorothiazide;-0.05915753310032951
leptospirosis;0.19129823184181607
stone;0.04233224011865346
stoned;-0.008436820731879251
stoning;0.204044789515299
transplantation;0.06893969318125397
urine;0.23822807059554996
French;-0.048747767909221286
polydipsia;0.2162467818987386
rheumatism;0.10376970385173855
ray;0.23761387153462812
azotemia;0.29489683356117025
haematuria;-0.05639610605952678
anuria;0.34702428424702925
ballottement;0.11144307791213683
donor;-0.1974535218037915
erythropoietin;0.12335136968396315
glomerulonephritis;0.15630465611828517
hemodialysis;0.3691604744931529
hydronephrosis;0.19384071266552802
mannitol;0.01499729310437615
nephrectomy;0.3951407708227059
nephrology;0.09494336743502639
organ;0.052749289608327345
pyelonephritis;0.3115624523769038
spironolactone;0.023899170814976344
viscus;0.14313657151406747
azathioprine;0.14302404206346506
calyx;0.0441842613713502
capsule;0.21032070622517715
